callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
CCA961,CA961,780c9e,B-2006,B77W,KLAX,EDDM,2019-07-31 00:10:20+00:00,2019-08-01 04:44:16+00:00,2019-08-01 00:00:00+00:00,33.946915965969275,-118.43233108520509,0.0,48.36735534667969,11.82734562800481,426.72
KQA210,KQ210,04c149,5Y-CYC,B738,FAOR,VABB,2019-07-31 00:25:06+00:00,2019-08-01 10:54:26+00:00,2019-08-01 00:00:00+00:00,-26.14299192266952,28.235708383413463,1524.0,19.0887451171875,72.86916836825284,
ETH859,,040086,ET-ARD,B737,OBBI,FAOR,2019-07-31 01:00:52+00:00,2019-08-01 02:09:03+00:00,2019-08-01 00:00:00+00:00,26.27617787506621,50.62441899226262,304.8,-26.14068603515625,28.255644024543052,1562.1
CES709,MU709,781602,,,YSSY,LEMD,2019-07-31 01:10:06+00:00,2019-08-01 17:13:40+00:00,2019-08-01 00:00:00+00:00,-33.959976196289055,151.179273955676,0.0,40.5032958984375,-3.560653686523438,601.98
CXA825,MF825,780d76,B-2761,B788,YSSY,LFPG,2019-07-31 01:21:34+00:00,2019-08-01 04:00:24+00:00,2019-08-01 00:00:00+00:00,-33.95846092094808,151.17919921875,0.0,49.02496467202396,2.530017652009663,76.2
GIA874,,8a0531,PK-GPX,A333,YSSY,RJAA,2019-07-31 01:29:51+00:00,2019-08-01 00:20:47+00:00,2019-08-01 00:00:00+00:00,-33.963674771583726,151.1806869506836,0.0,35.59263067730402,140.1738592918883,1866.9
ETH628,,040045,ET-AOO,B788,KLDJ,VTBS,2019-07-31 02:06:04+00:00,2019-08-01 06:49:25+00:00,2019-08-01 00:00:00+00:00,40.61256408691406,-74.2083740234375,609.6,13.756744902012711,100.75715717516451,373.38
SVA4421,,4cc3e3,TF-AAD,B744,,,2019-07-31 03:44:26+00:00,2019-08-01 00:45:57+00:00,2019-08-01 00:00:00+00:00,0.6697935977224576,102.1781079522495,9753.6,1.824894274695445,102.7268561001482,9464.04
KQA792,KQ792,04c14a,5Y-CYD,B738,OMDB,FACT,2019-07-31 03:51:53+00:00,2019-08-01 11:12:12+00:00,2019-08-01 00:00:00+00:00,25.26219177246094,55.34779866536459,0.0,-33.95999714479609,18.60008239746094,7.62
LAN704,,e8044f,CC-BGI,B789,KJFK,LEMD,2019-07-31 03:58:06+00:00,2019-08-01 10:56:12+00:00,2019-08-01 00:00:00+00:00,40.58070373535156,-73.81512451171875,609.6,40.58509826660156,-3.5751953125,944.88
